t_sec,v_varpi_0deg,v_varpi_90deg,v_varpi_180deg,v_varpi_270deg,v_varpi_60deg,v_varpi_120deg,v_varpi_240deg,v_varpi_300deg,v_circular
0.000000,84746.192585,0.000000,-84746.192585,-0.000000,42373.096293,-42373.096293,-42373.096293,42373.096293,48928.237102
43.200000,84732.811940,-1229.538925,-84732.811940,1229.538925,41301.594026,-43431.217914,-41301.594026,43431.217914,48927.271300
86.400000,84692.693231,-2458.107659,-84692.693231,2458.107659,40217.562937,-44475.130294,-40217.562937,44475.130294,48924.373934
129.600000,84625.906029,-3684.738982,-84625.906029,3684.738982,39121.875449,-45504.030580,-39121.875449,45504.030580,48919.545117
172.800000,84532.565911,-4908.471586,-84532.565911,4908.471586,38015.421868,-46517.144043,-38015.421868,46517.144043,48912.785040
216.000000,84412.833907,-6128.352985,-84412.833907,6128.352985,36899.107585,-47513.726322,-36899.107585,47513.726322,48904.093971
259.200000,84266.915727,-7343.442357,-84266.915727,7343.442357,35773.850231,-48493.065496,-35773.850231,48493.065496,48893.472251
302.400000,84095.060782,-8552.813317,-84095.060782,8552.813317,34640.576785,-49454.483997,-34640.576785,49454.483997,48880.920301
345.600000,83897.561012,-9755.556575,-83897.561012,9755.556575,33500.220684,-50397.340328,-33500.220684,50397.340328,48866.438615
388.800000,83674.749516,-10950.782500,-83674.749516,10950.782500,32353.718921,-51321.030594,-32353.718921,51321.030594,48850.027767
432.000000,83426.999013,-12137.623535,-83426.999013,12137.623535,31202.009183,-52224.989829,-31202.009183,52224.989829,48831.688403
475.200000,83154.720141,-13315.236481,-83154.720141,13315.236481,30046.027021,-53108.693120,-30046.027021,53108.693120,48811.421247
518.400000,82858.359607,-14482.804614,-82858.359607,14482.804614,28886.703090,-53971.656518,-28886.703090,53971.656518,48789.227100
561.600000,82538.398210,-15639.539648,-82538.398210,15639.539648,27724.960467,-54813.437743,-27724.960467,54813.437743,48765.106838
604.800000,82195.348743,-16784.683504,-82195.348743,16784.683504,26561.712063,-55633.636681,-26561.712063,55633.636681,48739.061413
648.000000,81829.753805,-17917.509915,-81829.753805,17917.509915,25397.858144,-56431.895662,-25397.858144,56431.895662,48711.091854
691.200000,81442.183528,-19037.325826,-81442.183528,19037.325826,24234.283979,-57207.899550,-24234.283979,57207.899550,48681.199264
734.400000,81033.233249,-20143.472615,-81033.233249,20143.472615,23071.857619,-57961.375629,-23071.857619,57961.375629,48649.384823
777.600000,80603.521126,-21235.327113,-80603.521126,21235.327113,21911.427825,-58692.093301,-21911.427825,58692.093301,48615.649788
820.800000,80153.685742,-22312.302439,-80153.685742,22312.302439,20753.822141,-59399.863600,-20753.822141,59399.863600,48579.995491
864.000000,79684.383682,-23373.848638,-79684.383682,23373.848638,19599.845136,-60084.538546,-19599.845136,60084.538546,48542.423338
907.200000,79196.287131,-24419.453135,-79196.287131,24419.453135,18450.276804,-60746.010327,-18450.276804,60746.010327,48502.934814
950.400000,78690.081477,-25448.641011,-78690.081477,25448.641011,17305.871131,-61384.210346,-17305.871131,61384.210346,48461.531477
993.600000,78166.462963,-26460.975098,-78166.462963,26460.975098,16167.354838,-61999.108125,-16167.354838,61999.108125,48418.214961
1036.800000,77626.136374,-27456.055909,-77626.136374,27456.055909,15035.426282,-62590.710092,-15035.426282,62590.710092,48372.986978
1080.000000,77069.812796,-28433.521413,-77069.812796,28433.521413,13910.754535,-63159.058261,-13910.754535,63159.058261,48325.849311
1123.200000,76498.207437,-29393.046651,-76498.207437,29393.046651,12793.978624,-63704.228813,-12793.978624,63704.228813,48276.803823
1166.400000,75912.037529,-30334.343223,-75912.037529,30334.343223,11685.706926,-64226.330603,-11685.706926,64226.330603,48225.852450
1209.600000,75312.020325,-31257.158638,-75312.020325,31257.158638,10586.516732,-64725.503593,-10586.516732,64725.503593,48172.997202
1252.800000,74698.871186,-32161.275551,-74698.871186,32161.275551,9496.953947,-65201.917238,-9496.953947,65201.917238,48118.240167
1296.000000,74073.301772,-33046.510892,-74073.301772,33046.510892,8417.532947,-65655.768825,-8417.532947,65655.768825,48061.583506
1339.200000,73436.018338,-33912.714898,-73436.018338,33912.714898,7348.736556,-66087.281782,-7348.736556,66087.281782,48003.029456
1382.400000,72787.720144,-34759.770064,-72787.720144,34759.770064,6291.016167,-66496.703977,-6291.016167,66496.703977,47942.580329
1425.600000,72129.097973,-35587.590020,-72129.097973,35587.590020,5244.791970,-66884.306003,-5244.791970,66884.306003,47880.238510
1468.800000,71460.832763,-36396.118343,-71460.832763,36396.118343,4210.453297,-67250.379466,-4210.453297,67250.379466,47816.006462
1512.000000,70783.594359,-37185.327328,-70783.594359,37185.327328,3188.359066,-67595.235293,-3188.359066,67595.235293,47749.886720
1555.200000,70098.040370,-37955.216702,-70098.040370,37955.216702,2178.838315,-67919.202055,-2178.838315,67919.202055,47681.881894
1598.400000,69404.815144,-38705.812325,-69404.815144,38705.812325,1182.190825,-68222.624320,-1182.190825,68222.624320,47611.994669
1641.600000,68704.548856,-39437.164853,-68704.548856,39437.164853,198.687812,-68505.861044,-198.687812,68505.861044,47540.227804
1684.800000,67997.856692,-40149.348400,-67997.856692,40149.348400,-771.427314,-68769.284006,771.427314,68769.284006,47466.584132
1728.000000,67285.338153,-40842.459187,-67285.338153,40842.459187,-1727.938132,-69013.276285,1727.938132,69013.276285,47391.066561
1771.200000,66567.576446,-41516.614196,-66567.576446,41516.614196,-2670.654349,-69238.230796,2670.654349,69238.230796,47313.678071
1814.400000,65845.137981,-42171.949836,-65845.137981,42171.949836,-3599.410894,-69444.548875,3599.410894,69444.548875,47234.421719
1857.600000,65118.571952,-42808.620618,-65118.571952,42808.620618,-4514.066980,-69632.638932,4514.066980,69632.638932,47153.300632
1900.800000,64388.410011,-43426.797858,-64388.410011,43426.797858,-5414.505144,-69802.915155,5414.505144,69802.915155,47070.318014
1944.000000,63655.166026,-44026.668397,-63655.166026,44026.668397,-6300.630263,-69955.796289,6300.630263,69955.796289,46985.477140
1987.200000,62919.335905,-44608.433363,-62919.335905,44608.433363,-7172.368563,-70091.704468,7172.368563,70091.704468,46898.781360
2030.400000,62181.397507,-45172.306954,-62181.397507,45172.306954,-8029.666617,-70211.064123,8029.666617,70211.064123,46810.234097
2073.600000,61441.810607,-45718.515267,-61441.810607,45718.515267,-8872.490341,-70314.300948,8872.490341,70314.300948,46719.838846
2116.800000,60701.016935,-46247.295162,-60701.016935,46247.295162,-9700.824000,-70401.840934,9700.824000,70401.840934,46627.599175
2160.000000,59959.440257,-46758.893174,-59959.440257,46758.893174,-10514.669213,-70474.109470,10514.669213,70474.109470,46533.518727
2203.200000,59217.486523,-47253.564458,-59217.486523,47253.564458,-11314.043979,-70531.530502,11314.043979,70531.530502,46437.601215
2246.400000,58475.544052,-47731.571790,-58475.544052,47731.571790,-12098.981707,-70574.525759,12098.981707,70574.525759,46339.850426
2289.600000,57733.983763,-48193.184607,-57733.983763,48193.184607,-12869.530277,-70603.514040,12869.530277,70603.514040,46240.270219
2332.800000,56993.159442,-48638.678095,-56993.159442,48638.678095,-13625.751115,-70618.910558,13625.751115,70618.910558,46138.864525
2376.000000,56253.408047,-49068.332323,-56253.408047,49068.332323,-14367.718289,-70621.126337,14367.718289,70621.126337,46035.637348
2419.200000,55515.050036,-49482.431427,-55515.050036,49482.431427,-15095.517639,-70610.567675,15095.517639,70610.567675,45930.592763
2462.400000,54778.389724,-49881.262834,-54778.389724,49881.262834,-15809.245925,-70587.635649,15809.245925,70587.635649,45823.734917
2505.600000,54043.715665,-50265.116535,-54043.715665,50265.116535,-16509.010011,-70552.725675,16509.010011,70552.725675,45715.068028
2548.800000,53311.301046,-50634.284403,-53311.301046,50634.284403,-17194.926073,-70506.227118,17194.926073,70506.227118,45604.596386
2592.000000,52581.404101,-50989.059554,-52581.404101,50989.059554,-17867.118839,-70448.522940,17867.118839,70448.522940,45492.324353
2635.200000,51854.268537,-51329.735751,-51854.268537,51329.735751,-18525.720861,-70379.989399,18525.720861,70379.989399,45378.256361
2678.400000,51130.123968,-51656.606845,-51130.123968,51656.606845,-19170.871817,-70300.995785,19170.871817,70300.995785,45262.396914
2721.600000,50409.186354,-51969.966265,-50409.186354,51969.966265,-19802.717842,-70211.904196,19802.717842,70211.904196,45144.750584
2764.800000,49691.658454,-52270.106538,-49691.658454,52270.106538,-20421.410894,-70113.069347,20421.410894,70113.069347,45025.322017
2808.000000,48977.730266,-52557.318852,-48977.730266,52557.318852,-21027.108147,-70004.838414,21027.108147,70004.838414,44904.115927
2851.200000,48267.579488,-52831.892649,-48267.579488,52831.892649,-21619.971420,-69887.550908,21619.971420,69887.550908,44781.137099
2894.400000,47561.371956,-53094.115259,-47561.371956,53094.115259,-22200.166628,-69761.538584,22200.166628,69761.538584,44656.390389
2937.600000,46859.262097,-53344.271561,-46859.262097,53344.271561,-22767.863269,-69627.125367,22767.863269,69627.125367,44529.880722
2980.800000,46161.393370,-53582.643674,-46161.393370,53582.643674,-23323.233939,-69484.627308,23323.233939,69484.627308,44401.613090
3024.000000,45467.898700,-53809.510685,-45467.898700,53809.510685,-23866.453868,-69334.352569,23866.453868,69334.352569,44271.592559
3067.200000,44778.900913,-54025.148397,-44778.900913,54025.148397,-24397.700499,-69176.601411,24397.700499,69176.601411,44139.824262
3110.400000,44094.513154,-54229.829105,-44094.513154,54229.829105,-24917.153070,-69011.666225,24917.153070,69011.666225,44006.313399
3153.600000,43414.839310,-54423.821400,-43414.839310,54423.821400,-25424.992248,-68839.831558,25424.992248,68839.831558,43871.065243
3196.800000,42739.974407,-54607.389992,-42739.974407,54607.389992,-25921.399764,-68661.374171,25921.399764,68661.374171,43734.085132
3240.000000,42070.005015,-54780.795558,-42070.005015,54780.795558,-26406.558085,-68476.563100,26406.558085,68476.563100,43595.378475
3283.200000,41405.009629,-54944.294610,-41405.009629,54944.294610,-26880.650111,-68285.659740,26880.650111,68285.659740,43454.950746
3326.400000,40745.059051,-55098.139379,-40745.059051,55098.139379,-27343.858878,-68088.917929,27343.858878,68088.917929,43312.807491
3369.600000,40090.216752,-55242.577720,-40090.216752,55242.577720,-27796.367300,-67886.584052,27796.367300,67886.584052,43168.954320
3412.800000,39440.539228,-55377.853034,-39440.539228,55377.853034,-28238.357921,-67678.897149,28238.357921,67678.897149,43023.396913
3456.000000,38796.076348,-55504.204205,-38796.076348,55504.204205,-28670.012684,-67466.089032,28670.012684,67466.089032,42876.141015
3499.200000,38156.871682,-55621.865545,-38156.871682,55621.865545,-29091.512727,-67248.384409,29091.512727,67248.384409,42727.192441
3542.400000,37522.962825,-55731.066764,-37522.962825,55731.066764,-29503.038186,-67026.001010,29503.038186,67026.001010,42576.557071
3585.600000,36894.381708,-55832.032944,-36894.381708,55832.032944,-29904.768021,-66799.149728,29904.768021,66799.149728,42424.240851
3628.800000,36271.154897,-55924.984522,-36271.154897,55924.984522,-30296.879854,-66568.034751,30296.879854,66568.034751,42270.249794
3672.000000,35653.303883,-56010.137293,-35653.303883,56010.137293,-30679.549824,-66332.853707,30679.549824,66332.853707,42114.589981
3715.200000,35040.845357,-56087.702412,-35040.845357,56087.702412,-31052.952450,-66093.797807,31052.952450,66093.797807,41957.267556
3758.400000,34433.791478,-56157.886413,-34433.791478,56157.886413,-31417.260518,-65851.051995,31417.260518,65851.051995,41798.288729
3801.600000,33832.150129,-56220.891228,-33832.150129,56220.891228,-31772.644963,-65604.795092,31772.644963,65604.795092,41637.659778
3844.800000,33235.925164,-56276.914221,-33235.925164,56276.914221,-32119.274780,-65355.199944,32119.274780,65355.199944,41475.387043
3888.000000,32645.116641,-56326.148220,-32645.116641,56326.148220,-32457.316935,-65102.433576,32457.316935,65102.433576,41311.476931
3931.200000,32059.721050,-56368.781564,-32059.721050,56368.781564,-32786.936290,-64846.657340,32786.936290,64846.657340,41145.935912
3974.400000,31479.731527,-56404.998147,-31479.731527,56404.998147,-33108.295532,-64588.027059,33108.295532,64588.027059,40978.770523
4017.600000,30905.138061,-56434.977470,-30905.138061,56434.977470,-33421.555120,-64326.693181,33421.555120,64326.693181,40809.987361
4060.800000,30335.927692,-56458.894699,-30335.927692,56458.894699,-33726.873232,-64062.800925,33726.873232,64062.800925,40639.593092
4104.000000,29772.084699,-56476.920723,-29772.084699,56476.920723,-34024.405724,-63796.490423,34024.405724,63796.490423,40467.594441
4147.200000,29213.590778,-56489.222216,-29213.590778,56489.222216,-34314.306090,-63527.896868,34314.306090,63527.896868,40293.998198
4190.400000,28660.425216,-56495.961705,-28660.425216,56495.961705,-34596.725440,-63257.150656,34596.725440,63257.150656,40118.811217
4233.600000,28112.565050,-56497.297635,-28112.565050,56497.297635,-34871.812472,-62984.377522,34871.812472,62984.377522,39942.040415
4276.800000,27569.985229,-56493.384441,-27569.985229,56493.384441,-35139.713457,-62709.698686,35139.713457,62709.698686,39763.692769
4320.000000,27032.658754,-56484.372616,-27032.658754,56484.372616,-35400.572225,-62433.230980,35400.572225,62433.230980,39583.775320
4363.200000,26500.556827,-56470.408789,-26500.556827,56470.408789,-35654.530159,-62155.086987,35654.530159,62155.086987,39402.295172
4406.400000,25973.648977,-56451.635792,-25973.648977,56451.635792,-35901.726193,-61875.375170,35901.726193,61875.375170,39219.259489
4449.600000,25451.903190,-56428.192743,-25451.903190,56428.192743,-36142.296810,-61594.200000,36142.296810,61594.200000,39034.675496
4492.800000,24935.286033,-56400.215111,-24935.286033,56400.215111,-36376.376049,-61311.662081,36376.376049,61311.662081,38848.550482
4536.000000,24423.762761,-56367.834802,-24423.762761,56367.834802,-36604.095514,-61027.858275,36604.095514,61027.858275,38660.891793
4579.200000,23917.297432,-56331.180226,-23917.297432,56331.180226,-36825.584385,-60742.881817,36825.584385,60742.881817,38471.706838
4622.400000,23415.853006,-56290.376379,-23415.853006,56290.376379,-37040.969429,-60456.822436,37040.969429,60456.822436,38281.003086
4665.600000,22919.391445,-56245.544913,-22919.391445,56245.544913,-37250.375022,-60169.766467,37250.375022,60169.766467,38088.788066
4708.800000,22427.873801,-56196.804218,-22427.873801,56196.804218,-37453.923163,-59881.796965,37453.923163,59881.796965,37895.069366
4752.000000,21941.260308,-56144.269489,-21941.260308,56144.269489,-37651.733500,-59592.993808,37651.733500,59592.993808,37699.854633
4795.200000,21459.510460,-56088.052806,-21459.510460,56088.052806,-37843.923349,-59303.433809,37843.923349,59303.433809,37503.151574
4838.400000,20982.583091,-56028.263205,-20982.583091,56028.263205,-38030.607720,-59013.190811,38030.607720,59013.190811,37304.967955
4881.600000,20510.436449,-55965.006752,-20510.436449,55965.006752,-38211.899346,-58722.335795,38211.899346,58722.335795,37105.311600
4924.800000,20043.028262,-55898.386614,-20043.028262,55898.386614,-38387.908707,-58430.936970,38387.908707,58430.936970,36904.190391
4968.000000,19580.315809,-55828.503130,-19580.315809,55828.503130,-38558.744061,-58139.059870,38558.744061,58139.059870,36701.612268
5011.200000,19122.255975,-55755.453880,-19122.255975,55755.453880,-38724.511472,-57846.767447,38724.511472,57846.767447,36497.585227
5054.400000,18668.805314,-55679.333758,-18668.805314,55679.333758,-38885.314843,-57554.120157,38885.314843,57554.120157,36292.117325
5097.600000,18219.920100,-55600.235035,-18219.920100,55600.235035,-39041.255946,-57261.176047,39041.255946,57261.176047,36085.216672
5140.800000,17775.556383,-55518.247429,-17775.556383,55518.247429,-39192.434455,-56967.990838,39192.434455,56967.990838,35876.891436
5184.000000,17335.670031,-55433.458168,-17335.670031,55433.458168,-39338.947978,-56674.618009,39338.947978,56674.618009,35667.149842
5227.200000,16900.216780,-55345.952059,-16900.216780,55345.952059,-39480.892090,-56381.108870,39480.892090,56381.108870,35456.000170
5270.400000,16469.152274,-55255.811545,-16469.152274,55255.811545,-39618.360368,-56087.512642,39618.360368,56087.512642,35243.450756
5313.600000,16042.432108,-55163.116771,-16042.432108,55163.116771,-39751.444422,-55793.876530,39751.444422,55793.876530,35029.509991
5356.800000,15620.011860,-55067.945645,-15620.011860,55067.945645,-39880.233933,-55500.245793,39880.233933,55500.245793,34814.186321
5400.000000,15201.847131,-54970.373895,-15201.847131,54970.373895,-40004.816683,-55206.663814,40004.816683,55206.663814,34597.488246
5443.200000,14787.893575,-54870.475128,-14787.893575,54870.475128,-40125.278591,-54913.172166,40125.278591,54913.172166,34379.424322
5486.400000,14378.106929,-54768.320888,-14378.106929,54768.320888,-40241.703747,-54619.810676,40241.703747,54619.810676,34160.003157
5529.600000,13972.443044,-54663.980713,-13972.443044,54663.980713,-40354.174447,-54326.617491,40354.174447,54326.617491,33939.233413
5572.800000,13570.857909,-54557.522183,-13570.857909,54557.522183,-40462.771224,-54033.629133,40462.771224,54033.629133,33717.123807
5616.000000,13173.307676,-54449.010983,-13173.307676,54449.010983,-40567.572884,-53740.880560,40567.572884,53740.880560,33493.683106
5659.200000,12779.748685,-54338.510944,-12779.748685,54338.510944,-40668.656539,-53448.405224,40668.656539,53448.405224,33268.920132
5702.400000,12390.137482,-54226.084104,-12390.137482,54226.084104,-40766.097640,-53156.235123,40766.097640,53156.235123,33042.843758
5745.600000,12004.430842,-54111.790749,-12004.430842,54111.790749,-40859.970012,-52864.400854,40859.970012,52864.400854,32815.462910
5788.800000,11622.585783,-53995.689467,-11622.585783,53995.689467,-40950.345882,-52572.931665,40950.345882,52572.931665,32586.786563
5832.000000,11244.559588,-53877.837192,-11244.559588,53877.837192,-41037.295915,-52281.855504,41037.295915,52281.855504,32356.823745
5875.200000,10870.309817,-53758.289251,-10870.309817,53758.289251,-41120.889247,-51991.199064,41120.889247,51991.199064,32125.583535
