f_deg,a_l__m/s2
0.000000,-0.000000
1.000000,-4.247045
2.000000,-8.490211
3.000000,-12.725621
4.000000,-16.949412
5.000000,-21.157739
6.000000,-25.346776
7.000000,-29.512729
8.000000,-33.651833
9.000000,-37.760367
10.000000,-41.834650
11.000000,-45.871052
12.000000,-49.865999
13.000000,-53.815975
14.000000,-57.717530
15.000000,-61.567282
16.000000,-65.361924
17.000000,-69.098230
18.000000,-72.773053
19.000000,-76.383337
20.000000,-79.926116
21.000000,-83.398519
22.000000,-86.797776
23.000000,-90.121218
24.000000,-93.366284
25.000000,-96.530521
26.000000,-99.611587
27.000000,-102.607259
28.000000,-105.515428
29.000000,-108.334106
30.000000,-111.061428
31.000000,-113.695652
32.000000,-116.235162
33.000000,-118.678468
34.000000,-121.024211
35.000000,-123.271158
36.000000,-125.418209
37.000000,-127.464393
38.000000,-129.408870
39.000000,-131.250931
40.000000,-132.989999
41.000000,-134.625625
42.000000,-136.157493
43.000000,-137.585414
44.000000,-138.909328
45.000000,-140.129300
46.000000,-141.245524
47.000000,-142.258314
48.000000,-143.168108
49.000000,-143.975464
50.000000,-144.681055
51.000000,-145.285673
52.000000,-145.790221
53.000000,-146.195710
54.000000,-146.503260
55.000000,-146.714095
56.000000,-146.829539
57.000000,-146.851014
58.000000,-146.780034
59.000000,-146.618206
60.000000,-146.367221
61.000000,-146.028854
62.000000,-145.604958
63.000000,-145.097462
64.000000,-144.508364
65.000000,-143.839731
66.000000,-143.093689
67.000000,-142.272425
68.000000,-141.378177
69.000000,-140.413234
70.000000,-139.379931
71.000000,-138.280642
72.000000,-137.117776
73.000000,-135.893778
74.000000,-134.611115
75.000000,-133.272283
76.000000,-131.879792
77.000000,-130.436169
78.000000,-128.943950
79.000000,-127.405678
80.000000,-125.823899
81.000000,-124.201155
82.000000,-122.539982
83.000000,-120.842907
84.000000,-119.112444
85.000000,-117.351087
86.000000,-115.561313
87.000000,-113.745570
88.000000,-111.906282
89.000000,-110.045838
90.000000,-108.166598
91.000000,-106.270879
92.000000,-104.360961
93.000000,-102.439082
94.000000,-100.507432
95.000000,-98.568155
96.000000,-96.623343
97.000000,-94.675039
98.000000,-92.725227
99.000000,-90.775838
100.000000,-88.828744
101.000000,-86.885758
102.000000,-84.948631
103.000000,-83.019053
104.000000,-81.098650
105.000000,-79.188984
106.000000,-77.291552
107.000000,-75.407784
108.000000,-73.539046
109.000000,-71.686635
110.000000,-69.851783
111.000000,-68.035653
112.000000,-66.239344
113.000000,-64.463886
114.000000,-62.710242
115.000000,-60.979310
116.000000,-59.271922
117.000000,-57.588846
118.000000,-55.930784
119.000000,-54.298377
120.000000,-52.692199
121.000000,-51.112769
122.000000,-49.560541
123.000000,-48.035910
124.000000,-46.539217
125.000000,-45.070742
126.000000,-43.630713
127.000000,-42.219303
128.000000,-40.836633
129.000000,-39.482776
130.000000,-38.157752
131.000000,-36.861536
132.000000,-35.594059
133.000000,-34.355205
134.000000,-33.144818
135.000000,-31.962703
136.000000,-30.808622
137.000000,-29.682305
138.000000,-28.583443
139.000000,-27.511698
140.000000,-26.466695
141.000000,-25.448033
142.000000,-24.455283
143.000000,-23.487986
144.000000,-22.545662
145.000000,-21.627805
146.000000,-20.733888
147.000000,-19.863364
148.000000,-19.015668
149.000000,-18.190215
150.000000,-17.386407
151.000000,-16.603629
152.000000,-15.841254
153.000000,-15.098643
154.000000,-14.375145
155.000000,-13.670100
156.000000,-12.982837
157.000000,-12.312680
158.000000,-11.658943
159.000000,-11.020938
160.000000,-10.397967
161.000000,-9.789330
162.000000,-9.194322
163.000000,-8.612236
164.000000,-8.042361
165.000000,-7.483983
166.000000,-6.936388
167.000000,-6.398860
168.000000,-5.870680
169.000000,-5.351131
170.000000,-4.839494
171.000000,-4.335050
172.000000,-3.837078
173.000000,-3.344860
174.000000,-2.857676
175.000000,-2.374806
176.000000,-1.895531
177.000000,-1.419132
178.000000,-0.944890
179.000000,-0.472086
180.000000,-0.000000
181.000000,0.472086
182.000000,0.944890
183.000000,1.419132
184.000000,1.895531
185.000000,2.374806
186.000000,2.857676
187.000000,3.344860
188.000000,3.837078
189.000000,4.335050
190.000000,4.839494
191.000000,5.351131
192.000000,5.870680
193.000000,6.398860
194.000000,6.936388
195.000000,7.483983
196.000000,8.042361
197.000000,8.612236
198.000000,9.194322
199.000000,9.789330
200.000000,10.397967
201.000000,11.020938
202.000000,11.658943
203.000000,12.312680
204.000000,12.982837
205.000000,13.670100
206.000000,14.375145
207.000000,15.098643
208.000000,15.841254
209.000000,16.603629
210.000000,17.386407
211.000000,18.190215
212.000000,19.015668
213.000000,19.863364
214.000000,20.733888
215.000000,21.627805
216.000000,22.545662
217.000000,23.487986
218.000000,24.455283
219.000000,25.448033
220.000000,26.466695
221.000000,27.511698
222.000000,28.583443
223.000000,29.682305
224.000000,30.808622
225.000000,31.962703
226.000000,33.144818
227.000000,34.355205
228.000000,35.594059
229.000000,36.861536
230.000000,38.157752
231.000000,39.482776
232.000000,40.836633
233.000000,42.219303
234.000000,43.630713
235.000000,45.070742
236.000000,46.539217
237.000000,48.035910
238.000000,49.560541
239.000000,51.112769
240.000000,52.692199
241.000000,54.298377
242.000000,55.930784
243.000000,57.588846
244.000000,59.271922
245.000000,60.979310
246.000000,62.710242
247.000000,64.463886
248.000000,66.239344
249.000000,68.035653
250.000000,69.851783
251.000000,71.686635
252.000000,73.539046
253.000000,75.407784
254.000000,77.291552
255.000000,79.188984
256.000000,81.098650
257.000000,83.019053
258.000000,84.948631
259.000000,86.885758
260.000000,88.828744
261.000000,90.775838
262.000000,92.725227
263.000000,94.675039
264.000000,96.623343
265.000000,98.568155
266.000000,100.507432
267.000000,102.439082
268.000000,104.360961
269.000000,106.270879
270.000000,108.166598
271.000000,110.045838
272.000000,111.906282
273.000000,113.745570
274.000000,115.561313
275.000000,117.351087
276.000000,119.112444
277.000000,120.842907
278.000000,122.539982
279.000000,124.201155
280.000000,125.823899
281.000000,127.405678
282.000000,128.943950
283.000000,130.436169
284.000000,131.879792
285.000000,133.272283
286.000000,134.611115
287.000000,135.893778
288.000000,137.117776
289.000000,138.280642
290.000000,139.379931
291.000000,140.413234
292.000000,141.378177
293.000000,142.272425
294.000000,143.093689
295.000000,143.839731
296.000000,144.508364
297.000000,145.097462
298.000000,145.604958
299.000000,146.028854
300.000000,146.367221
301.000000,146.618206
302.000000,146.780034
303.000000,146.851014
304.000000,146.829539
305.000000,146.714095
306.000000,146.503260
307.000000,146.195710
308.000000,145.790221
309.000000,145.285673
310.000000,144.681055
311.000000,143.975464
312.000000,143.168108
313.000000,142.258314
314.000000,141.245524
315.000000,140.129300
316.000000,138.909328
317.000000,137.585414
318.000000,136.157493
319.000000,134.625625
320.000000,132.989999
321.000000,131.250931
322.000000,129.408870
323.000000,127.464393
324.000000,125.418209
325.000000,123.271158
326.000000,121.024211
327.000000,118.678468
328.000000,116.235162
329.000000,113.695652
330.000000,111.061428
331.000000,108.334106
332.000000,105.515428
333.000000,102.607259
334.000000,99.611587
335.000000,96.530521
336.000000,93.366284
337.000000,90.121218
338.000000,86.797776
339.000000,83.398519
340.000000,79.926116
341.000000,76.383337
342.000000,72.773053
343.000000,69.098230
344.000000,65.361924
345.000000,61.567282
346.000000,57.717530
347.000000,53.815975
348.000000,49.865999
349.000000,45.871052
350.000000,41.834650
351.000000,37.760367
352.000000,33.651833
353.000000,29.512729
354.000000,25.346776
355.000000,21.157739
356.000000,16.949412
357.000000,12.725621
358.000000,8.490211
359.000000,4.247045
360.000000,0.000000
